,GNomexID,run,number,plate,well,sample_type,samp_date,sac_day,day,infection_status,mouse,cage,ear,sex,treatment,microb,DOB,moved_to_SB,moved_from_bubble,age,location,out_of_bubble,PlatePosition,breeding,sample_group,description,LanePosition,RawReads1st,RerunReads,lane,Nanostring_sample,metabolomics_sample,Observed,sum,Shannon,PD,SR,row,cage_day
5_RP3_D10,19266X113,19266,113,2,40,sample,5/10/21,D41,D10,infected,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,112,SouthBio,74,H5,NA,exp,NA,113,52907,NA,Original_Lane1,NA,NA,71,25022,1.950249542,5.708066617,71,5_RP3_D10,5D10
5_RP3_D14,19266X181,19266,181,3,6,sample,5/15/21,D41,D14,infected,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,117,SouthBio,79,F1,NA,exp,NA,181,4739,43061,Rerun,NA,NA,71,23509,2.54178086,6.060507977,71,5_RP3_D14,5D14
5_RP3_D28,19266X212,19266,212,3,64,sample,5/28/21,D41,D28,cleared,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,130,SouthBio,92,H8,NA,exp,NA,212,4700,NA,Original_Lane1,NA,NA,53,1630,2.644417345,4.901836744,53,5_RP3_D28,5D28
5_RP3_D31,19267X143,19267,143,4,7,sample,5/31/21,D41,D31,cleared,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,133,SouthBio,95,G1,NA,exp,NA,143,3659,48313,Rerun,NA,NA,69,24120,1.990255409,5.64059304,69,5_RP3_D31,5D31
5_RP3_D41,19267X146,19267,146,4,31,sample,6/10/21,D41,D41,cleared,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,143,SouthBio,105,G4,NA,exp,NA,146,4585,50382,Rerun,NA,NA,89,20757,2.962499846,6.294895593,89,5_RP3_D41,5D41
5_RP3_pre,19267X50,19267,50,1,50,sample,4/24/21,D41,D-5,pretreat,5_RP3,5,RP3,F,worm,LO,1/18/21,3/23/21,2/25/21,96,SouthBio,58,E2,NA,exp,NA,50,83752,NA,Original_Lane2,NA,NA,35,45344,1.96141974,4.096165179,35,5_RP3_pre,5D-5
6_1,18684X176,18684,176,6,NA,breeder,NA,none,none,other,pretreat_bubble,a1_Female,NA,F,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t2,6Days_PostGavage1_3PostGavage2,176,NA,NA,Prerun,NA,NA,12,1999,1.488439238,2.045774966,12,6_1,a1_Femalenone
6_2,18684X177,18684,177,6,NA,breeder,NA,none,none,other,pretreat_bubble,a2_Female,NA,F,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t2,6Days_PostGavage1_3PostGavage2,177,NA,NA,Prerun,NA,NA,15,5566,1.624576966,2.305554826,15,6_2,a2_Femalenone
6_3,18684X178,18684,178,6,NA,breeder,NA,none,none,other,pretreat_bubble,a3_Male,NA,M,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t2,6Days_PostGavage1_3PostGavage2,178,NA,NA,Prerun,NA,NA,14,2750,1.561218243,2.323226098,14,6_3,a3_Malenone
6_LP10_D1,19267X34,19267,34,1,34,sample,5/1/21,D41,D1,infected,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,103,SouthBio,65,C10,NA,exp,NA,34,54872,NA,Original_Lane2,NA,NA,24,29797,1.70110088,2.935486232,24,6_LP10_D1,6D1
6_LP10_D10,19266X30,19266,30,2,41,sample,5/10/21,D41,D10,infected,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,112,SouthBio,74,A6,NA,exp,NA,30,83801,NA,Original_Lane1,NA,NA,55,37025,2.436097943,5.239498343,55,6_LP10_D10,6D10
6_LP10_D14,19266X193,19266,193,3,7,sample,5/15/21,D41,D14,infected,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,117,SouthBio,79,G1,NA,exp,NA,193,3540,23923,Rerun,NA,NA,53,13904,1.898590859,5.146789569,53,6_LP10_D14,6D14
6_LP10_D28,19266X129,19266,129,3,65,sample,5/28/21,D41,D28,cleared,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,130,SouthBio,92,A9,NA,exp,NA,129,7362,NA,Original_Lane1,NA,NA,57,3243,2.616859934,5.497535788,57,6_LP10_D28,6D28
6_LP10_D31,19267X154,19267,154,4,8,sample,5/31/21,D41,D31,cleared,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,133,SouthBio,95,H1,NA,exp,NA,154,2335,45916,Rerun,NA,NA,62,21057,2.232213427,5.670912404,62,6_LP10_D31,6D31
6_LP10_D41,19267X157,19267,157,4,32,sample,6/10/21,D41,D41,cleared,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,143,SouthBio,105,H4,NA,exp,NA,157,2936,20711,Rerun,3,19,51,9957,2.098899278,4.59733135,51,6_LP10_D41,6D41
6_LP10_pre,19267X62,19267,62,1,62,sample,4/24/21,D41,D-5,pretreat,6_LP10,6,LP10,M,worm,LO,1/18/21,4/16/21,2/25/21,96,SouthBio,58,F2,NA,exp,NA,62,60809,NA,Original_Lane2,NA,NA,23,33169,1.674902993,2.922333505,23,6_LP10_pre,6D-5
6_LP20_D1,19267X46,19267,46,1,46,sample,5/1/21,D14,D1,infected,6_LP20,6,LP20,M,worm,LO,1/18/21,4/16/21,2/25/21,103,SouthBio,65,D10,NA,exp,NA,46,61660,NA,Original_Lane2,NA,NA,23,32081,1.806003033,2.843790099,23,6_LP20_D1,6D1
6_LP20_D10,19266X42,19266,42,2,42,sample,5/10/21,D14,D10,infected,6_LP20,6,LP20,M,worm,LO,1/18/21,4/16/21,2/25/21,112,SouthBio,74,B6,NA,exp,NA,42,111159,NA,Original_Lane1,NA,NA,63,52320,2.046244741,5.436145425,63,6_LP20_D10,6D10
6_LP20_D14,19266X205,19266,205,3,8,sample,5/14/21,D14,D14,infected,6_LP20,6,LP20,M,worm,LO,1/18/21,4/16/21,2/25/21,116,SouthBio,78,H1,NA,exp,NA,205,1883,47083,Rerun,4,5,61,26379,2.195266224,5.322720235,61,6_LP20_D14,6D14
6_LP20_pre,19266X2,19266,2,1,74,sample,4/24/21,D14,D-5,pretreat,6_LP20,6,LP20,M,worm,LO,1/18/21,4/16/21,2/25/21,96,SouthBio,58,G2,NA,exp,NA,2,134775,NA,Original_Lane1,NA,NA,23,64102,1.824201443,2.955349215,23,6_LP20_pre,6D-5
6_RP1_D1,19267X58,19267,58,1,58,sample,5/1/21,D41,D1,infected,6_RP1,6,RP1,M,worm,LO,1/18/21,4/16/21,2/25/21,103,SouthBio,65,E10,NA,exp,NA,58,97740,NA,Original_Lane2,NA,NA,28,55199,1.703629915,3.265605958,28,6_RP1_D1,6D1
6_RP1_D10,19266X54,19266,54,2,43,sample,5/10/21,D41,D10,infected,6_RP1,6,RP1,M,worm,LO,1/18/21,4/16/21,2/25/21,112,SouthBio,74,C6,NA,exp,NA,54,100732,NA,Original_Lane1,NA,NA,68,41619,2.634341553,5.960020861,68,6_RP1_D10,6D10
6_RP1_D14,19266X122,19266,122,3,9,sample,5/15/21,D41,D14,infected,6_RP1,6,RP1,M,worm,LO,1/18/21,4/16/21,2/25/21,117,SouthBio,79,A2,NA,exp,NA,122,11125,NA,Original_Lane1,NA,NA,51,4980,2.228812713,5.047795717,51,6_RP1_D14,6D14
6_RP1_D28,19266X141,19266,141,3,66,sample,5/28/21,D41,D28,cleared,6_RP1,6,RP1,M,worm,LO,1/18/21,4/16/21,2/25/21,130,SouthBio,92,B9,NA,exp,NA,141,10768,NA,Original_Lane1,NA,NA,56,4565,2.04838827,5.312445772,56,6_RP1_D28,6D28
6_RP1_D41,19267X77,19267,77,NA,NA,sample,6/10/21,D41,D41,cleared,6_RP1,6,RP1,M,worm,LO,1/18/21,4/16/21,2/25/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,19242,Rerun,NA,NA,49,9645,1.565929234,4.675982011,49,6_RP1_D41,6D41
6_RP1_pre,19266X14,19266,14,1,86,sample,4/24/21,D41,D-5,pretreat,6_RP1,6,RP1,M,worm,LO,1/18/21,4/16/21,2/25/21,96,SouthBio,58,H2,NA,exp,NA,14,23378,NA,Original_Lane1,NA,NA,18,10500,1.712709635,2.574172735,18,6_RP1_pre,6D-5
6_RP2_D1,19267X70,19267,70,1,70,sample,5/1/21,D41,D1,infected,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,103,SouthBio,65,F10,NA,exp,NA,70,66699,NA,Original_Lane2,NA,NA,22,37210,1.886917696,2.798164113,22,6_RP2_D1,6D1
6_RP2_D10,19266X66,19266,66,2,44,sample,5/10/21,D41,D10,infected,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,112,SouthBio,74,D6,NA,exp,NA,66,136966,NA,Original_Lane1,NA,NA,68,57357,2.118764264,6.019051554,68,6_RP2_D10,6D10
6_RP2_D14,19266X134,19266,134,3,10,sample,5/15/21,D41,D14,infected,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,117,SouthBio,79,B2,NA,exp,NA,134,19030,NA,Original_Lane1,NA,NA,54,7485,2.515307382,5.167592466,54,6_RP2_D14,6D14
6_RP2_D28,19266X153,19266,153,3,67,sample,5/28/21,D41,D28,cleared,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,130,SouthBio,92,C9,NA,exp,NA,153,8589,NA,Original_Lane1,NA,NA,49,4131,1.8580743,5.055526207,49,6_RP2_D28,6D28
6_RP2_D41,19267X89,19267,89,NA,NA,sample,6/10/21,D41,D41,cleared,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,10033,Rerun,NA,NA,51,5544,1.643745802,4.322593009,51,6_RP2_D41,6D41
6_RP2_pre,19267X3,19267,3,1,3,sample,4/24/21,D41,D-5,pretreat,6_RP2,6,RP2,M,worm,LO,1/18/21,4/16/21,2/25/21,96,SouthBio,58,A3,NA,exp,NA,3,78742,NA,Original_Lane2,NA,NA,27,44612,1.732206521,3.143915387,27,6_RP2_pre,6D-5
7_LP_D1,19266X10,19266,10,1,82,sample,5/1/21,D14,D1,infected,7_LP,7,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,G10,NA,exp,NA,10,112605,NA,Original_Lane1,NA,NA,54,56014,1.536404869,5.223545596,54,7_LP_D1,7D1
7_LP_D10,19266X78,19266,78,2,45,sample,5/10/21,D14,D10,infected,7_LP,7,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,E6,NA,exp,NA,78,129625,NA,Original_Lane1,NA,NA,95,43724,2.427353814,6.907390087,95,7_LP_D10,7D10
7_LP_D14,19266X146,19266,146,3,11,sample,5/14/21,D14,D14,infected,7_LP,7,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,106,SouthBio,65,C2,NA,exp,NA,146,13513,NA,Original_Lane1,5,6,69,6237,1.837640432,5.530653457,69,7_LP_D14,7D14
7_LP_pre,19267X15,19267,15,1,15,sample,4/24/21,D14,D-5,pretreat,7_LP,7,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,B3,NA,exp,NA,15,46853,NA,Original_Lane2,NA,NA,59,26916,1.872687635,5.304113782,59,7_LP_pre,7D-5
7_RLP_D1,19266X22,19266,22,1,94,sample,5/1/21,D41,D1,infected,7_RLP,7,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,H10,NA,exp,NA,22,16815,NA,Original_Lane1,NA,NA,43,7932,1.905056896,4.851070749,43,7_RLP_D1,7D1
7_RLP_D10,19266X90,19266,90,2,46,sample,5/10/21,D41,D10,infected,7_RLP,7,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,F6,NA,exp,NA,90,109893,NA,Original_Lane1,NA,NA,93,40838,2.648103726,6.742481741,93,7_RLP_D10,7D10
7_RLP_D14,19266X158,19266,158,3,12,sample,5/15/21,D41,D14,infected,7_RLP,7,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,107,SouthBio,66,D2,NA,exp,NA,158,22810,NA,Original_Lane1,NA,NA,77,9659,2.315872856,5.906917344,77,7_RLP_D14,7D14
7_RLP_D28,19266X165,19266,165,3,68,sample,5/28/21,D41,D28,cleared,7_RLP,7,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,120,SouthBio,79,D9,NA,exp,NA,165,14160,NA,Original_Lane1,NA,NA,80,6011,2.650381236,6.199885622,80,7_RLP_D28,7D28
7_RLP_D41,19267X101,19267,101,NA,NA,sample,6/10/21,D41,D41,cleared,7_RLP,7,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,14173,Rerun,6,NA,84,7430,2.265162534,6.702109347,84,7_RLP_D41,7D41
7_RLP_pre,19267X27,19267,27,1,27,sample,4/24/21,D41,D-5,pretreat,7_RLP,7,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,C3,NA,exp,NA,27,29592,NA,Original_Lane2,NA,NA,56,15120,2.039198294,4.962132046,56,7_RLP_pre,7D-5
7_RP_D1,19267X11,19267,11,1,11,sample,5/1/21,D41,D1,infected,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,A11,NA,exp,NA,11,85492,NA,Original_Lane2,NA,NA,61,48272,2.130946079,5.258568561,61,7_RP_D1,7D1
7_RP_D10,19266X102,19266,102,2,47,sample,5/10/21,D41,D10,infected,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,G6,NA,exp,NA,102,180879,NA,Original_Lane1,NA,NA,105,63505,2.64398077,7.555082414,105,7_RP_D10,7D10
7_RP_D14,19266X170,19266,170,3,13,sample,5/15/21,D41,D14,infected,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,107,SouthBio,66,E2,NA,exp,NA,170,15657,NA,Original_Lane1,NA,NA,70,6794,2.327325397,5.471315656,70,7_RP_D14,7D14
7_RP_D28,19266X177,19266,177,3,69,sample,5/28/21,D41,D28,cleared,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,120,SouthBio,79,E9,NA,exp,NA,177,9893,NA,Original_Lane1,NA,NA,77,4571,2.101851435,5.775601076,77,7_RP_D28,7D28
7_RP_D31,19267X74,19267,74,4,9,sample,5/31/21,D41,D31,cleared,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,123,SouthBio,82,A2,NA,exp,NA,74,9647,NA,Original_Lane2,NA,NA,62,5209,2.374686632,5.094296534,62,7_RP_D31,7D31
7_RP_D41,19267X113,19267,113,NA,NA,sample,6/10/21,D41,D41,cleared,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,57463,Rerun,NA,20,94,32418,2.60907074,6.305027856,94,7_RP_D41,7D41
7_RP_pre,19267X39,19267,39,1,39,sample,4/24/21,D41,D-5,pretreat,7_RP,7,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,D3,NA,exp,NA,39,50558,NA,Original_Lane2,NA,NA,61,27316,1.963502925,5.234980228,61,7_RP_pre,7D-5
8_LP_D1,19267X23,19267,23,1,23,sample,5/1/21,D41,D1,infected,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,B11,NA,exp,NA,23,52036,NA,Original_Lane2,NA,NA,47,31034,1.713051649,4.741138073,47,8_LP_D1,8D1
8_LP_D10,19266X114,19266,114,2,48,sample,5/10/21,D41,D10,infected,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,H6,NA,exp,NA,114,107450,NA,Original_Lane1,NA,NA,79,40757,2.632092393,7.46339991,79,8_LP_D10,8D10
8_LP_D14,19266X182,19266,182,3,14,sample,5/15/21,D41,D14,infected,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,107,SouthBio,66,F2,NA,exp,NA,182,10006,NA,Original_Lane1,NA,NA,51,3976,2.266196176,5.188776119,51,8_LP_D14,8D14
8_LP_D28,19266X189,19266,189,3,70,sample,5/28/21,D41,D28,cleared,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,120,SouthBio,79,F9,NA,exp,NA,189,6697,NA,Original_Lane1,NA,NA,49,2768,2.109946853,4.960399692,49,8_LP_D28,8D28
8_LP_D41,19267X125,19267,125,NA,NA,sample,6/10/21,D41,D41,cleared,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,30704,Rerun,NA,21,51,15245,2.171675741,5.544355096,51,8_LP_D41,8D41
8_LP_pre,19267X51,19267,51,1,51,sample,4/24/21,D41,D-5,pretreat,8_LP,8,LP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,E3,NA,exp,NA,51,66286,NA,Original_Lane2,NA,NA,30,34373,1.709877079,3.208922611,30,8_LP_pre,8D-5
8_RLP_D1,19267X35,19267,35,1,35,sample,5/1/21,D14,D1,infected,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,C11,NA,exp,NA,35,43178,NA,Original_Lane2,NA,NA,43,23861,1.869003453,4.602926674,43,8_RLP_D1,8D1
8_RLP_D10,19266X31,19266,31,2,49,sample,5/10/21,D14,D10,infected,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,A7,NA,exp,NA,31,13524,NA,Original_Lane1,NA,NA,58,7116,2.669754434,5.87608814,58,8_RLP_D10,8D10
8_RLP_D14,19266X194,19266,194,3,15,sample,5/14/21,D14,D14,infected,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,106,SouthBio,65,G2,NA,exp,NA,194,11243,NA,Original_Lane1,NA,NA,64,5080,2.024051654,5.561666014,64,8_RLP_D14,8D14
8_RLP_pre,19267X63,19267,63,1,63,sample,4/24/21,D14,D-5,pretreat,8_RLP,8,RLP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,F3,NA,exp,NA,63,44484,NA,Original_Lane2,NA,NA,23,23547,1.825987424,2.745626512,23,8_RLP_pre,8D-5
8_RP_D1,19267X47,19267,47,1,47,sample,5/1/21,D41,D1,infected,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,93,SouthBio,52,D11,NA,exp,NA,47,54557,NA,Original_Lane2,NA,NA,46,29929,1.8603908,4.819540304,46,8_RP_D1,8D1
8_RP_D10,19266X43,19266,43,2,50,sample,5/10/21,D41,D10,infected,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,102,SouthBio,61,B7,NA,exp,NA,43,24253,NA,Original_Lane1,NA,NA,59,12892,2.850085281,5.780780128,59,8_RP_D10,8D10
8_RP_D14,19266X206,19266,206,3,16,sample,5/15/21,D41,D14,infected,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,107,SouthBio,66,H2,NA,exp,NA,206,4301,46823,Rerun,NA,NA,58,26215,2.141179,5.765875409,58,8_RP_D14,8D14
8_RP_D28,19266X201,19266,201,3,71,sample,5/28/21,D41,D28,cleared,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,120,SouthBio,79,G9,NA,exp,NA,201,5015,NA,Original_Lane1,NA,NA,43,2302,2.222704019,4.953563146,43,8_RP_D28,8D28
8_RP_D31,19267X86,19267,86,4,10,sample,5/31/21,D41,D31,cleared,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,123,SouthBio,82,B2,NA,exp,NA,86,12455,NA,Original_Lane2,NA,NA,56,5675,2.49874729,5.734344861,56,8_RP_D31,8D31
8_RP_D41,19267X136,19267,136,NA,NA,sample,6/10/21,D41,D41,cleared,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,50494,Rerun,8,22,55,29551,2.605202852,5.561691735,55,8_RP_D41,8D41
8_RP_pre,19266X3,19266,3,1,75,sample,4/24/21,D41,D-5,pretreat,8_RP,8,RP,M,worm,LO,1/28/21,3/23/21,3/10/21,86,SouthBio,45,G3,NA,exp,NA,3,92238,NA,Original_Lane1,NA,NA,23,42915,1.867945726,2.881636969,23,8_RP_pre,8D-5
9_1,18684X179,18684,179,6,NA,breeder,NA,none,none,other,pretreat_bubble,a1_Female,NA,F,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t3,9Days_PostGavage1_3PostGavage3,179,NA,NA,Prerun,NA,NA,16,1630,1.750997768,2.384673288,16,9_1,a1_Femalenone
9_2,18684X180,18684,180,6,NA,breeder,NA,none,none,other,pretreat_bubble,a2_Female,NA,F,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t3,9Days_PostGavage1_3PostGavage3,180,NA,NA,Prerun,NA,NA,21,3181,1.405100786,2.775721467,21,9_2,a2_Femalenone
9_3,18684X181,18684,181,6,NA,breeder,NA,none,none,other,pretreat_bubble,a3_Male,NA,M,pretreat_bubble,LO,NA,NA,NA,NA,NA,NA,NA,no_sep,P0_fecal_t3,9Days_PostGavage1_3PostGavage3,181,NA,NA,Prerun,NA,NA,15,3351,1.016649673,2.404145179,15,9_3,a3_Malenone
9_LLP_D1,19267X59,19267,59,1,59,sample,5/1/21,D41,D1,infected,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,E11,NA,exp,NA,59,83999,NA,Original_Lane2,NA,NA,34,45880,2.008719095,3.926878668,34,9_LLP_D1,9D1
9_LLP_D10,19266X55,19266,55,2,51,sample,5/10/21,D41,D10,infected,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,C7,NA,exp,NA,55,18353,NA,Original_Lane1,NA,NA,73,9476,2.1345977,5.990347549,73,9_LLP_D10,9D10
9_LLP_D14,19266X123,19266,123,3,17,sample,5/15/21,D41,D14,infected,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,A3,NA,exp,NA,123,7651,7697,Rerun,NA,NA,54,3963,1.781425836,4.843780724,54,9_LLP_D14,9D14
9_LLP_D28,19266X213,19266,213,3,72,sample,5/28/21,D41,D28,cleared,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,H9,NA,exp,NA,213,4285,47679,Rerun,NA,NA,79,20658,3.294887432,5.784580019,79,9_LLP_D28,9D28
9_LLP_D31,19267X98,19267,98,4,11,sample,5/31/21,D41,D31,cleared,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,119,SouthBio,82,C2,NA,exp,NA,98,10756,NA,Original_Lane2,NA,NA,72,4827,3.199150767,5.689713009,72,9_LLP_D31,9D31
9_LLP_D41,19267X147,19267,147,NA,NA,sample,6/10/21,D41,D41,cleared,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,12055,Rerun,NA,7,73,5776,2.396045042,5.749547613,73,9_LLP_D41,9D41
9_LLP_pre,19266X15,19266,15,1,87,sample,4/24/21,D41,D-5,pretreat,9_LLP,9,LLP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,H3,NA,exp,NA,15,21789,NA,Original_Lane1,NA,NA,31,9285,2.059274081,3.607238225,31,9_LLP_pre,9D-5
9_LP_D1,19267X71,19267,71,1,71,sample,5/1/21,D41,D1,infected,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,F11,NA,exp,NA,71,47559,NA,Original_Lane2,NA,NA,31,25769,1.959225598,3.976086117,31,9_LP_D1,9D1
9_LP_D10,19266X67,19266,67,2,52,sample,5/10/21,D41,D10,infected,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,D7,NA,exp,NA,67,28859,NA,Original_Lane1,NA,NA,71,14687,2.224368475,5.818117421,71,9_LP_D10,9D10
9_LP_D14,19266X135,19266,135,3,18,sample,5/15/21,D41,D14,infected,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,B3,NA,exp,NA,135,15864,NA,Original_Lane1,NA,NA,65,5958,3.018603315,5.165555297,65,9_LP_D14,9D14
9_LP_D28,19266X130,19266,130,3,73,sample,5/28/21,D41,D28,cleared,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,A10,NA,exp,NA,130,6134,NA,Original_Lane1,NA,NA,66,2729,2.641113161,5.254319836,66,9_LP_D28,9D28
9_LP_D41,19267X158,19267,158,NA,NA,sample,6/10/21,D41,D41,cleared,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,NA,SouthBio,NA,,NA,exp,NA,NA,0,36825,Rerun,NA,NA,80,19049,2.420609997,6.287667142,80,9_LP_D41,9D41
9_LP_pre,19267X4,19267,4,1,4,sample,4/24/21,D41,D-5,pretreat,9_LP,9,LP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,A4,NA,exp,NA,4,102316,NA,Original_Lane2,NA,NA,30,48752,1.931176906,3.510361181,30,9_LP_pre,9D-5
9_RP_D1,19266X11,19266,11,1,83,sample,5/1/21,D41,D1,infected,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,G11,NA,exp,NA,11,104404,NA,Original_Lane1,NA,NA,30,52162,1.865742485,3.791655257,30,9_RP_D1,9D1
9_RP_D10,19266X79,19266,79,2,53,sample,5/10/21,D41,D10,infected,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,98,SouthBio,61,E7,NA,exp,NA,79,17379,NA,Original_Lane1,NA,NA,67,8708,3.245759384,5.270652085,67,9_RP_D10,9D10
9_RP_D14,19266X147,19266,147,3,19,sample,5/15/21,D41,D14,infected,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,103,SouthBio,66,C3,NA,exp,NA,147,8642,44820,Rerun,NA,NA,68,21234,1.978252795,5.548025815,68,9_RP_D14,9D14
9_RP_D28,19266X142,19266,142,3,74,sample,5/28/21,D41,D28,cleared,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,116,SouthBio,79,B10,NA,exp,NA,142,9627,NA,Original_Lane1,NA,NA,64,3740,2.861079347,4.913829625,64,9_RP_D28,9D28
9_RP_D41,19267X78,19267,78,4,41,sample,6/10/21,D41,D41,cleared,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,129,SouthBio,92,A6,NA,exp,NA,78,234,47959,Rerun,NA,NA,83,20390,2.073716311,6.145764448,83,9_RP_D41,9D41
9_RP_pre,19267X16,19267,16,1,16,sample,4/24/21,D41,D-5,pretreat,9_RP,9,RP,M,worm,LO,2/1/21,3/23/21,3/10/21,82,SouthBio,45,B4,NA,exp,NA,16,44736,NA,Original_Lane2,NA,NA,32,22337,1.883792184,3.466738066,32,9_RP_pre,9D-5
9_RRP_D1,19266X23,19266,23,1,95,sample,5/1/21,D41,D1,infected,9_RRP,9,RRP,M,worm,LO,2/1/21,3/23/21,3/10/21,89,SouthBio,52,H11,NA,exp,NA,23,10853,NA,Original_Lane1,NA,NA,24,5162,1.958723544,3.423225604,24,9_RRP_D1,9D1
